word,tf_idf,freq,docs
estudo,0.0019391294407515422,8125,4212
consumo,0.01255586655956297,7697,2243
alimentar,0.010979689326618918,6491,2215
alimentos,0.01571955686856821,5911,1722
maior,0.005958321829478707,5714,2695
peso,0.012889873772073832,5626,1920
grupo,0.014877076424215718,5543,1725
saude,0.008332529263766467,5275,2304
nutricional,0.010422968468734754,4817,1968
resultados,0.0028560274878034623,4740,3355
corporal,0.012537308087578152,4328,1680
objetivo,0.0017214494607159596,4165,3770
grupos,0.010505183715679113,4144,1790
relacao,0.006388726665293134,4000,2253
dados,0.005977167073327819,3983,2326
sobre,0.006614297072879269,3935,2240
analise,0.0058755526915445664,3935,2328
dieta,0.023199507663170766,3883,1099
anos,0.007299314998093165,3876,2132
idade,0.008417174366820301,3628,1913
apresentaram,0.006950385287103816,3590,2064
risco,0.013495128087919925,3556,1458
obesidade,0.019429329601506715,3525,1177
avaliar,0.003920416501240016,3448,2663
alimentacao,0.015233612534543653,3380,1328
apos,0.008838615777770994,3349,1762
sendo,0.0053822274991798804,3311,2245
pacientes,0.03236830149877428,3191,814
aumento,0.008445010194612723,3098,1740
fatores,0.00985876775634409,2972,1592
controle,0.010801221780486816,2955,1478
associacao,0.01069949817729228,2938,1515
criancas,0.03581673828932638,2830,697
alem,0.005674753543273216,2830,2009
vida,0.011015257113230448,2822,1441
atividade,0.014018674636608502,2810,1249
estudos,0.009106179347336865,2763,1562
meio,0.006867846228342378,2748,1801
individuos,0.013917405713525947,2742,1237
avaliacao,0.008505487609336353,2732,1618
ser,0.005971448542091887,2693,1939
alimentares,0.016110486435338623,2665,1110
qualidade,0.014677480158759816,2657,1167
estado,0.010738611577637466,2657,1424
durante,0.009995845622996524,2651,1462
reducao,0.010408122477074941,2613,1404
variaveis,0.010161863074600794,2609,1447
mulheres,0.019610614362791302,2557,974
ingestao,0.015652850307685304,2501,1082
massa,0.011584958573483588,2479,1291
teste,0.010949824566542105,2388,1294
menor,0.009242515972756332,2353,1393
total,0.008639010305839292,2324,1438
apresentou,0.008832622673163839,2288,1422
pode,0.0062109854086035065,2280,1765
prevalencia,0.013922036033915088,2241,1119
dias,0.012992114070863687,2186,1120
indice,0.008939730306780717,2051,1341
imc,0.015663834590640722,2048,950
populacao,0.009246096116244903,2032,1325
gordura,0.016006793080610735,2016,913
niveis,0.015373276537640711,2007,940
tratamento,0.014093114922967581,2005,1027
composicao,0.012742877790014703,2000,1064
quanto,0.007995722091798541,1991,1403
excesso,0.02020869239608208,1968,812
tempo,0.012071982562245228,1964,1084
adolescentes,0.042532135951481996,1949,471
desenvolvimento,0.008833055092155899,1946,1329
efeito,0.010916862842683181,1922,1147
forma,0.007480551195474471,1847,1403
media,0.009400046206843428,1789,1204
assim,0.007046967089066301,1786,1424
presente,0.006397516525055557,1774,1545
dois,0.008161921306682604,1765,1292
trabalho,0.009643434506424162,1747,1211
valores,0.011369576134392828,1742,1040
periodo,0.009845153949028265,1732,1155
perfil,0.011578360709167712,1731,1047
brasil,0.009353655811204292,1728,1204
efeitos,0.010641675642026194,1726,1099
parametros,0.012398617835745553,1722,991
analises,0.007591520863027471,1700,1305
sexo,0.011378807352032698,1699,1047
doencas,0.009746156830435901,1697,1165
animais,0.026723227192837328,1683,582
metodos,0.007463025758301162,1682,1370
partir,0.008643900806081723,1649,1210
respectivamente,0.009284760862628083,1611,1142
vitamina,0.040562867305644276,1604,426
tres,0.00833027701402861,1599,1186
realizada,0.007518536817015483,1599,1286
avaliados,0.00806535326710724,1587,1233
concentracoes,0.019275901827408844,1583,704
padrao,0.014768311325665463,1579,827
bem,0.00839164982024142,1572,1183
diferentes,0.009056254256890134,1566,1126
pesquisa,0.009614152521148561,1563,1111
amostra,0.009499746618272697,1553,1119
compostos,0.02345811216758013,1551,611
podem,0.007594495814344127,1538,1254
dia,0.015473503994098928,1516,779
alteracoes,0.010550794038090373,1513,1032
deste,0.007592847346624296,1495,1274
transversal,0.006236291430734997,1488,1434
presenca,0.011065294794146238,1471,973
disso,0.007945117751464184,1467,1152
conclusao,0.006035679732662746,1467,1448
doenca,0.014697859823663116,1454,819
pre,0.020075907167342043,1431,647
realizado,0.00716268231858427,1429,1265
intervencao,0.02286598308723636,1425,569
nivel,0.009790105621859174,1425,1014
regressao,0.008889254026876795,1424,1094
maiores,0.009843524788327954,1413,991
pos,0.01987073269953944,1411,633
meses,0.019883093298247355,1395,627
uso,0.011261988000848764,1395,924
antioxidante,0.023139146587764108,1388,575
ainda,0.0077402613249655345,1385,1160
associados,0.011630047874131551,1377,916
fisica,0.01702589032436159,1332,689
concentracao,0.016385047332259664,1322,691
frequencia,0.012661459568227975,1318,836
participantes,0.012391507008282543,1312,830
atraves,0.010928578311409025,1311,946
tipo,0.010104406839407665,1307,968
base,0.010528727712612266,1302,922
questionario,0.010819989448577283,1301,911
segundo,0.009521310587361343,1295,970
todos,0.008716303741800747,1281,1017
idosos,0.03821749181102478,1280,392
ambos,0.009259437809217928,1253,987
modelo,0.011491803704792185,1241,841
cada,0.009633962188303497,1238,945
nutricao,0.015520058899100877,1237,709
condicoes,0.012800751920174587,1233,801
alta,0.010169564843378729,1199,898
suplementacao,0.03144596857860697,1195,424
fisico,0.019948326121741928,1195,589
processo,0.013339954487324515,1195,762
metodo,0.011254286388518086,1186,834
baixa,0.012895760270211488,1172,750
caracteristicas,0.010922822396328571,1162,843
diferenca,0.011544190996420513,1155,798
significativa,0.011064912485910147,1155,837
saudavel,0.017524033350351804,1145,601
observou,0.009205925675204054,1136,917
muscular,0.033932907799268365,1134,388
amostras,0.017626749204448393,1130,615
enquanto,0.009536774291127328,1124,886
acido,0.018928613658663582,1109,550
capacidade,0.015860595632517335,1109,638
insulina,0.026179159380193696,1106,445
realizadas,0.008884088716626447,1094,914
acordo,0.009285268380210583,1093,880
trata,0.007586271796637543,1089,1056
correlacao,0.018101244840942526,1086,588
estresse,0.025307621804272942,1085,445
programa,0.016964984413009372,1082,604
praticas,0.024307251679409864,1079,471
oleo,0.05138678002626947,1075,261
acoes,0.018639679631931767,1071,568
valor,0.01260783824598283,1067,720
acidos,0.021271663815512702,1066,481
conteudo,0.015846207885436798,1066,599
apenas,0.009826969473671001,1065,854
ratos,0.027728334932553833,1061,425
saudaveis,0.014952549741768852,1052,621
leite,0.032646496442215865,1051,374
produtos,0.020105303812884872,1050,514
producao,0.015462373823974727,1050,634
proteina,0.015591575402885758,1043,607
marcadores,0.016859182742398025,1039,568
introducao,0.007867685854420877,1037,976
baixo,0.012092267237859168,1026,730
utilizando,0.009128251522273286,1026,860
maioria,0.010435507477106795,1023,789
associado,0.011864861058072808,1013,729
revisao,0.01643820173547001,1002,568
adultos,0.013441936503534304,995,677
expressao,0.032014289664621644,994,351
potencial,0.0136944490440955,993,659
numero,0.011405274914322356,991,726
escolar,0.03569852513095488,986,331
frutas,0.018822885393742095,980,513
comparacao,0.011061277735080062,978,722
ambiente,0.01892172594205061,972,505
colesterol,0.017431521451613183,970,539
arterial,0.02165765870677721,968,469
teor,0.021063303163832835,964,472
nutricionais,0.01254583583376431,962,688
associada,0.01092073346858667,962,756
proteinas,0.015268578864508442,960,586
porem,0.009647991342199107,955,809
totais,0.01862439381863055,954,507
sido,0.009065498148593955,953,847
cintura,0.017486830277620612,946,524
diferencas,0.011148062528686886,929,707
importante,0.00925810069357565,929,821
exercicio,0.04216960654964292,927,280
ferro,0.045140167865794986,926,250
intestinal,0.03500084300941961,924,301
utilizados,0.009016321573874265,918,813
percentual,0.013030604445175889,915,632
entanto,0.009404012848496478,914,783
duas,0.010537895312008482,908,723
medidas,0.011796746482038795,906,669
principais,0.010066188153559405,903,752
sistema,0.013696720918804918,902,626
padroes,0.030829563116336348,897,339
final,0.010610657731717644,897,707
semanas,0.016867797633318166,892,520
todas,0.010315118922922374,892,721
analisados,0.009774958959721108,890,744
fase,0.01814483498040163,884,486
avaliada,0.01009752752523459,883,719
comportamento,0.02108273809138057,879,449
renda,0.01762976907283538,875,491
pratica,0.013949493762661778,874,597
diagnostico,0.01580087635821167,872,546
utilizado,0.009580379277641498,869,762
analisar,0.009465188499588502,869,781
ultraprocessados,0.027661511968690877,866,354
oxidativo,0.026506447981171712,864,362
menores,0.013423276220028691,863,594
fenolicos,0.028030102696029142,862,357
tanto,0.010211810915653303,858,726
melhor,0.011289419881784083,856,668
graxos,0.023104981507837987,855,386
considerando,0.00991709292808274,854,713
longo,0.011968486420936043,852,633
testes,0.012720529504460159,850,635
social,0.01822798063974227,846,484
diabetes,0.019003628145605425,834,474
celulas,0.028435933267123972,831,345
glicose,0.017970127115037732,828,472
cancer,0.04234496589388508,827,261
indicadores,0.02141427462004159,826,424
tecido,0.023295797118443602,816,384
relacionados,0.011363870296775653,814,639
seguranca,0.01992780368546208,812,432
homens,0.020939052924042294,812,434
informacoes,0.011221423258436898,811,645
materno,0.029953144808395494,805,325
comparado,0.014215659943629754,805,533
agua,0.018717790986133492,803,451
identificar,0.010987100455633551,797,658
horas,0.012024553092839617,796,592
sobrepeso,0.020832210114333966,789,413
outros,0.01054280887966183,786,663
investigar,0.009515467927477062,786,724
desnutricao,0.03450675502758196,779,293
mostrou,0.011133123537437556,779,646
influencia,0.011937504224496158,777,618
menos,0.011487119835176755,774,609
principalmente,0.010490724378798425,773,661
ter,0.011256210934144256,766,615
desta,0.010836843211561706,766,643
quatro,0.011024231797575315,761,626
gestacao,0.03307149713284717,759,296
devido,0.010571277951294429,758,662
aplicacao,0.013466319217848109,756,538
neste,0.009914454613225527,755,683
municipio,0.013962885409359032,754,541
ganho,0.02073011371834106,751,406
verificar,0.011082086281477917,750,642
desse,0.01073596384819364,750,640
perda,0.018243810286349253,749,435
habitos,0.01554002189306741,749,501
primeiro,0.012181630834703831,747,566
submetidos,0.013782393925694384,746,543
hdl,0.021743935824283134,743,376
necessidade,0.010210150495226679,742,663
antropometricos,0.014353481069663367,741,525
significancia,0.009840478126919948,739,663
obtidos,0.01042081067969837,737,636
parte,0.011235246203895623,735,610
pressao,0.022353125278748297,734,367
crescimento,0.018074572480784458,734,446
fator,0.01227210189960333,734,576
publica,0.011583971264601844,729,605
alto,0.014134802193718399,726,515
escore,0.020231925560095745,725,381
brasileira,0.012752432042423706,725,549
entretanto,0.010508233782571418,723,618
escolaridade,0.015599885896573965,722,483
inflamacao,0.018603703115946054,722,400
coleta,0.01165221477565683,721,588
profissionais,0.026334065577966893,720,328
aumentou,0.014119506997611516,716,500
forca,0.03337848745102499,715,294
significativamente,0.01386545972465557,712,513
dentre,0.010466962051590645,712,624
circunferencia,0.016755478322813395,709,465
artigo,0.022325434452702908,708,339
sintomas,0.0352956975524172,703,254
glicemia,0.016911814180126647,703,443
refeicoes,0.025243025794337907,702,321
avaliadas,0.010647563009877832,702,622
literatura,0.011192881008758027,701,595
desempenho,0.030629098484252052,699,307
escolares,0.033940504509684326,698,263
aspectos,0.013636671417901224,698,512
desses,0.0110206733490794,695,590
possivel,0.011080808049496125,693,599
desfechos,0.01893301792150561,691,392
publicas,0.01313130795847393,690,519
escolas,0.025320694907971196,687,321
importancia,0.010083352195891309,684,621
resposta,0.016554734145242302,683,444
avaliado,0.010584785705991494,683,595
estatistica,0.010788912747667703,681,589
dessa,0.011027917761097416,677,587
promocao,0.014857671467921513,676,469
contexto,0.011304306105987023,674,571
vez,0.011036614773898697,674,580
receberam,0.015324511318038747,671,452
estatura,0.01828577524597837,669,403
lipidico,0.018066821921966236,669,417
estrategias,0.012912507769754299,669,509
apresentam,0.011031742374176982,668,577
gestantes,0.04910376656222643,666,200
modelos,0.01355370376122911,666,486
area,0.01425074297688911,660,471
escala,0.014850399877531385,659,463
estudantes,0.033128272997963046,658,246
mudancas,0.013637472722190864,657,487
inseguranca,0.04586460447333944,656,205
maes,0.033140121571932024,655,256
bebidas,0.02468005567572953,655,315
associacoes,0.013822886351885517,655,489
grande,0.011575027448741984,655,567
cronicas,0.012537827463168005,654,536
clinicos,0.015837260777815405,653,445
fim,0.010812909275781091,649,572
positiva,0.014018195717670255,647,480
jejum,0.019065760138422157,646,374
pessoas,0.019898979227463438,641,370
criterios,0.015655104562953,640,424
estilo,0.015325825282585952,640,438
mostraram,0.011321886665672666,640,560
diminuicao,0.014048688364729296,638,469
vezes,0.016486800552191015,637,421
quais,0.010508672739647255,637,577
antes,0.014413021346146037,635,467
prevencao,0.011859711277571496,634,526
energia,0.01812014798515367,633,379
farinha,0.055905674698337494,632,163
funcao,0.015679609187470318,632,431
melhora,0.014273805752877284,632,464
coletados,0.010557788260036102,631,586
regiao,0.014606136884180197,630,458
ano,0.016522747462782372,628,421
estar,0.012454180329914188,628,502
resistencia,0.01827724624519309,628,390
razao,0.01583093487177455,626,417
percepcao,0.024883925091197936,625,304
feminino,0.013262945915704982,621,482
educacao,0.02077699783026055,619,347
gestacional,0.04365412604466622,618,198
nutrientes,0.017034819533738026,618,398
apesar,0.01097600292257549,618,555
geral,0.012642663265481895,615,488
componentes,0.01524127255357528,615,418
instrumento,0.025981435028187384,613,280
atencao,0.01893021008418485,613,377
calcio,0.02821423872474784,612,266
elevada,0.014714423562572874,610,449
extrato,0.040841734364469445,609,214
utilizacao,0.013379407826966587,609,469
treinamento,0.03936893611698055,608,226
adiposidade,0.023681040468239163,608,296
politicas,0.014142022249501535,608,450
utilizada,0.011173609210721561,599,537
bioquimicos,0.013940574921253503,598,463
elevado,0.013960542920097059,597,450
observado,0.01156050026764284,597,514
ensino,0.01832306931214427,594,371
familiar,0.0186562750029152,594,369
comparados,0.012374973637656338,594,479
materna,0.024353098488760744,591,301
pontos,0.017782902639228663,589,371
nesse,0.010766270151195167,589,537
impacto,0.013071752352017386,587,471
sexos,0.013055254061881221,586,487
metabolismo,0.01650452471612323,584,383
observada,0.011666850811280364,584,510
antropometricas,0.013012717225036148,584,475
portanto,0.011122081303557055,580,533
adesao,0.03389322527718699,577,223
significativas,0.013150267162717735,575,457
apresenta,0.011717179340074317,574,513
grau,0.015482373846700443,573,406
processados,0.027685920370859325,572,261
infantil,0.02169699810954031,571,314
acao,0.01587997852510733,569,401
metabolica,0.018866153791046565,568,344
quantidade,0.01391209267334525,566,437
fibras,0.020273330312070254,565,331
semana,0.017843282995323208,560,345
inflamatorio,0.020461173105785758,559,318
atividades,0.016176270877930662,559,385
nacional,0.015433030390099255,556,411
relacionadas,0.011953239598931497,555,478
mortalidade,0.026343858954807033,552,272
papel,0.012698037173315085,552,461
pais,0.020550871689298998,551,326
via,0.01718060426803504,551,370
universidade,0.01297408846818181,551,431
sodio,0.028706288116918787,550,236
familia,0.019690148099298508,550,337
adiposo,0.027632676885475275,549,251
deficiencia,0.030180395408924032,549,240
realizacao,0.013760773602316825,549,426
hiperlipidica,0.041105203738223545,544,183
cardiovasculares,0.015574427172807888,544,393
formacao,0.021370858284278517,542,311
objetivos,0.010877827548261021,542,494
cinco,0.013356170243212371,541,429
inflamatorios,0.01816127664514532,540,337
masculino,0.014008748341501256,539,430
energetico,0.018810084229736308,538,335
abdominal,0.024191323810415537,537,295
sociais,0.016951457986864715,537,365
adequada,0.01292765572511774,537,441
primeira,0.013911248648651939,536,413
capaz,0.0127516111387761,534,436
camundongos,0.03534592153801884,533,215
pcr,0.025771340332188735,533,268
versao,0.013857077261340488,533,397
seis,0.014769613865359353,533,393
utilizou,0.011740407488758696,532,478
metodologia,0.011640836473303324,531,488
microbiota,0.039019528043965857,530,182
mundo,0.01180003820292986,530,480
verificou,0.012580523567380979,526,440
artigos,0.01870044020061617,525,327
carboidratos,0.018808723674625844,524,333
exposicao,0.01717226687314446,523,348
incluidos,0.014088912654712358,522,404
medio,0.013620613194559629,521,415
conhecimento,0.023231203588859804,520,288
lipidios,0.018742793109733612,520,314
natura,0.02222953922176112,519,282
clinico,0.013991750955946305,519,407
sarcopenia,0.10759361347162959,517,89
associadas,0.012121605124522681,514,449
federal,0.012339329426336355,512,428
superior,0.013707367239943374,509,407
classificacao,0.015456954975014934,507,365
logistica,0.012119822118997911,507,439
linear,0.014057586541689636,506,403
figado,0.02728705877614058,504,236
lactacao,0.035065841538918945,498,203
alimento,0.015380947712237294,498,362
outras,0.011356872732856039,498,454
ldl,0.021099203054138267,497,286
hipertensao,0.0208987029903154,497,306
identificacao,0.012882141871048297,497,413
principal,0.012454518037774675,497,440
demais,0.012188229160006508,494,425
destes,0.012678622210240515,494,423
etapa,0.02247552595867877,493,249
mediana,0.018004236993157136,490,319
antioxidantes,0.01850681558237767,490,321
sistematica,0.018767297791525445,490,306
sono,0.0799380472615024,489,103
reduziu,0.015436075162573526,489,348
contendo,0.016666905235260314,489,345
dietas,0.021628632132510595,487,277
sugerem,0.011402214107073939,485,454
contribuir,0.011739735843465514,483,440
placebo,0.03507004841571698,482,206
adicao,0.02341327723377696,482,256
cor,0.018007577401914783,482,329
sangue,0.013041727373357645,481,406
acesso,0.017677028728799216,479,321
global,0.014708273144573543,477,373
condicao,0.014354639627803024,477,379
cardiovascular,0.02678522333767613,476,237
intervencoes,0.016562733503226557,475,331
alguns,0.012049768146384,475,421
analisadas,0.012458195068871037,475,422
qui,0.012811905230574426,474,400
bioativos,0.019338315416654654,474,301
sindrome,0.024741374882055203,473,255
protocolo,0.01923710975615932,471,295
inicio,0.014982616004139686,468,357
identificados,0.014684357853208027,467,357
cronica,0.014974511637919777,466,367
participaram,0.011371835880831682,465,434
diante,0.01178663818863593,464,424
observadas,0.012593525093037385,464,406
sob,0.01377582554550253,463,379
leptina,0.043293433803577676,461,158
realizados,0.011896288141069454,461,419
minutos,0.022749616822184137,460,258
ensaio,0.013780253210564418,458,375
tais,0.011854583678366297,458,404
itens,0.025831095056637002,456,226
crianca,0.027204998704536437,456,230
wistar,0.013774908118575256,455,378
densidade,0.019533184159921165,455,286
atletas,0.0669589611147998,454,115
processamento,0.01874480762009232,454,294
funcional,0.02467095961241708,453,254
teores,0.02340345314743067,452,244
anemia,0.06915370456926993,450,116
especialmente,0.01221257184959531,450,408
armazenamento,0.034105646092721646,449,189
encontrados,0.013017422158129285,448,392
objetivou,0.011543584393193118,448,440
hepatica,0.02929370564575615,447,213
acima,0.014502434639697146,447,363
sericos,0.021189079080257755,446,268
covid,0.046492947756490086,445,149
metabolicas,0.015188541818434983,445,342
proteica,0.027335117398284262,444,222
concordancia,0.029790113390477373,443,194
abordagem,0.014902223701311413,443,350
ocorrencia,0.015836847256898354,443,332
positivamente,0.014707222118063933,443,336
estrategia,0.013653812629816024,442,366
propriedades,0.017742663062234505,442,316
diversos,0.012454581260508973,440,408
considerados,0.012319691643985888,438,392
distribuicao,0.013838763920623947,436,354
vem,0.012599012576085042,436,397
chance,0.020400960122929156,435,268
depressao,0.04659579606086094,434,147
indices,0.01942366499023259,434,271
produto,0.019946259369836166,434,280
escola,0.02480009414761349,434,237
terapia,0.025465457540850136,433,222
recomendacoes,0.018511648573340162,432,274
onde,0.013142241154192645,432,379
faixa,0.015425262847678759,431,332
realizou,0.012900480260541069,431,373
comportamentos,0.029209551317770605,430,203
medias,0.015209430825210271,430,333
importantes,0.01194863822586844,430,404
outro,0.011801308153397302,429,393
considerado,0.011817556252507308,429,396
triglicerideos,0.01577681055307609,428,317
referencia,0.01485926040396579,427,341
central,0.016756345460671344,426,304
anti,0.017931534123003905,425,291
zinco,0.04495371034883461,423,148
estatisticamente,0.014264243493459384,423,349
contudo,0.012492169408115828,422,377
situacao,0.019634991718006214,421,274
prole,0.05263301233243862,418,121
avaliou,0.013092066799971994,418,377
quadrado,0.011301677868815122,418,404
adequacao,0.020729825938169313,417,262
achados,0.011702281327055346,417,393
estabelecimentos,0.055493820456400396,416,112
restricao,0.02680033355026775,416,214
tecnica,0.014863419536829547,416,332
conclui,0.011674616273352695,416,412
aleitamento,0.03964208999005338,415,163
software,0.012296477594326572,414,362
busca,0.013493881120624818,414,356
cirurgia,0.04571197567575105,413,139
considerada,0.012281314361358793,413,384
utilizadas,0.01253680634500412,412,370
parto,0.0395681477600157,411,156
machos,0.01689664073813113,409,295
sensibilidade,0.021409105809576823,409,247
embora,0.012248032071528322,409,376
duracao,0.019384260870993264,408,273
altura,0.016851054346803722,408,302
incluindo,0.012743730828335189,408,359
polpa,0.04916747899805071,405,134
conforme,0.013236587477790178,404,348
fonte,0.014650540808503015,403,316
variavel,0.015308674789642226,403,307
sociodemograficas,0.014726742946665079,403,325
suco,0.056562644683490475,402,113
coorte,0.01554399380412092,402,324
momento,0.014801399299215034,402,325
interacao,0.020426146167616104,401,257
natal,0.02848880306552641,401,204
familias,0.033115385765668214,401,176
ratas,0.041635479877041394,399,148
hortalicas,0.030552557938671093,399,183
cafe,0.045815402067931,399,130
experimental,0.01757491925292225,398,283
composto,0.01424238991683794,398,329
mundial,0.012539886345360355,398,365
coletadas,0.012477729910422732,398,369
boa,0.015725963789244984,397,299
corte,0.019253994355954523,394,259
inflamatoria,0.0200182814703778,394,250
pandemia,0.046254407219248034,393,128
tendencia,0.01763069768801454,391,288
hospital,0.015318305256445333,391,320
janeiro,0.015197658771018767,390,316
rede,0.01823494183230953,389,281
acucar,0.029322091352615622,388,185
unidades,0.018455743519098317,388,276
tnf,0.024682260530047514,388,209
brasileiros,0.018198239050116798,387,265
rio,0.01614950485987352,387,306
medida,0.015161790876900604,384,317
alteracao,0.015782435877832197,384,302
fundamental,0.013861944163484635,381,333
classificados,0.014002940765546753,381,323
nutricionistas,0.04057231216267279,380,147
modo,0.014173662799816696,380,320
adulta,0.019028524880151554,379,258
todo,0.012474037000236499,379,359
humano,0.019254310950246968,378,259
etapas,0.014222550112649229,378,301
seguintes,0.012526730378467299,378,343
reduzir,0.012912584993008952,378,342
serica,0.021784609489762692,375,229
manutencao,0.014234096882495299,375,322
presentes,0.013808659662100098,375,325
cidade,0.01579440207865473,374,321
problema,0.014143684124723435,374,336
grave,0.022064829083234823,373,238
significativo,0.014254658683046218,373,326
promover,0.012756394698644006,372,347
metabolicos,0.01841170447616653,371,252
formulacoes,0.0404571869028855,370,145
cuidado,0.029200746607898044,370,182
evidencias,0.014109127798009883,370,324
dissertacao,0.013423734719528969,370,343
participacao,0.01855479348346186,369,252
demonstraram,0.013344500064623826,369,327
questoes,0.015414675966899057,369,294
melhorar,0.01305792058479426,368,336
composta,0.012663042981666966,368,346
categorias,0.018386154067398183,367,252
ausencia,0.014032501494599023,367,312
tipos,0.015984465333750215,367,278
determinacao,0.013928740686945542,366,311
ansiedade,0.04798240826820645,365,123
campo,0.02167030122799281,365,241
escores,0.022102644085105514,365,215
hemoglobina,0.024317628069838584,364,210
clinica,0.015278232076462877,363,291
independentes,0.015055315469734761,363,308
acompanhamento,0.01668954891327276,362,282
consumidores,0.025223859587116555,360,194
divididos,0.012900426899082199,360,334
ferramenta,0.018207874819214667,359,257
drc,0.0637713206571319,358,84
renal,0.029303804799581522,358,175
vegetais,0.024175155164692985,358,202
socioeconomicas,0.015870837854817365,358,299
prevalencias,0.021017040644298705,356,240
obesos,0.02938810814279395,356,184
adequado,0.01591008411675693,356,291
paises,0.01999279294208455,355,227
sericas,0.02338513446454041,355,208
vitro,0.021899817083899764,354,219
entrevistas,0.01722105518049216,354,269
hospitalar,0.03334396125282955,353,163
beneficios,0.014006923332872512,353,314
independente,0.01437689505835712,353,303
celular,0.022798125143951724,352,220
confianca,0.012847849308008417,352,318
gorduras,0.01861855155420578,351,241
livre,0.01723623213225868,351,256
encontradas,0.013836314333395808,350,314
dessas,0.013472862373195645,350,323
desfecho,0.015532803273892783,348,277
aceitacao,0.02581903814578371,346,188
possui,0.014165199625057731,346,306
transmissiveis,0.013779986710790044,345,318
encontrada,0.014162875059115693,345,312
municipios,0.0328745785990538,344,157
oferta,0.0226718887050052,344,198
precoce,0.022941867840790137,344,210
diversas,0.013419919984152607,344,317
ponto,0.016621386766613018,343,263
etaria,0.01607739436060095,342,272
bacterias,0.0255193847957161,342,191
feijao,0.03156891576973001,340,142
segunda,0.014597323384832103,340,280
regioes,0.01743082317537497,339,252
clinicas,0.015121234173477391,339,285
mudanca,0.022244184847749784,338,211
proporcao,0.018302916779350743,338,232
experimentais,0.016103561245495352,338,253
jovens,0.021242357780441423,337,229
ossea,0.057490894602940275,336,97
publico,0.016197410385642614,336,264
aumentar,0.013450887298784778,336,304
recebeu,0.023315851859781935,335,198
desenvolver,0.01363408076998764,334,313
tendo,0.01366954969522143,334,308
aplicado,0.013510859782208128,333,306
chances,0.024617906570616604,332,193
demonstrou,0.01431086344071698,332,291
gene,0.03746093509188142,331,146
pesquisas,0.014943970223660829,331,285
negativa,0.016838364443077153,331,254
pontuacao,0.02577921761133386,330,179
tratamentos,0.02239438318692702,330,205
sensorial,0.025174259461469485,330,191
pro,0.020209468311044802,330,212
processos,0.016705229805887935,330,259
apresentar,0.014733954820011884,330,289
nascer,0.037210611258334185,327,135
carga,0.026823696978473924,327,170
complicacoes,0.018498334496959867,327,241
parece,0.014130564742273033,327,291
sentido,0.012824101858377089,327,308
minerais,0.02443939689172958,326,195
validacao,0.030685613839437468,325,151
micronutrientes,0.0235748926152688,325,197
frutos,0.04332697710855869,324,119
mellitus,0.016078885703338826,324,266
moderada,0.01867526791040643,324,232
comportamentais,0.019605409999255172,323,234
preparacoes,0.031535231118951665,322,145
internacao,0.04080153880017375,322,118
anova,0.012497292910927202,322,301
associou,0.01826309632238541,321,232
interesse,0.014078901526798979,321,285
imagem,0.05279077726853035,319,108
compra,0.028377307389040825,319,158
necessario,0.012992295421732107,319,305
variacao,0.01882034689232427,317,220
elaboracao,0.016146725499754048,317,256
mecanismos,0.015677665586481766,317,269
possiveis,0.01362333973116199,317,295
regular,0.019589932853573334,316,218
pois,0.013520491559824,316,293
local,0.015908622691706082,315,255
sociodemograficos,0.014980172375228083,315,276
bebida,0.027044059666062877,314,165
organizacao,0.015713029077477576,314,264
perimetro,0.021128318414339493,313,187
questionarios,0.01575310051507468,313,249
dose,0.02281563774503008,312,193
ocorreu,0.013547261849249988,312,288
dietetica,0.019553102690222337,311,216
seguida,0.01309453204252825,311,284
mama,0.06510174615517934,310,87
minimamente,0.02743274991589271,310,165
podendo,0.013345206746032257,310,291
equacoes,0.048629379394549824,309,101
responsaveis,0.017850561077241475,309,228
estudados,0.015392290356178277,309,272
selecionados,0.014845032891457676,309,265
visando,0.013856691910928743,309,286
genes,0.032914737871349756,308,146
comparar,0.01406168448329749,308,275
multipla,0.015479142609788407,308,266
destaca,0.012884908317430374,307,290
possuem,0.015502340206452447,307,257
carne,0.038676102949304215,306,122
homa,0.028293587653751097,306,152
brasileiro,0.016901869656903233,306,235
cafeina,0.11494714132475879,305,58
carotenoides,0.04376361009730929,305,110
nesta,0.013411385392979933,305,282
adiponectina,0.04924436376980477,304,99
elevados,0.015610188052562732,304,256
ensaios,0.019059095263429117,304,217
pouco,0.013856247239276729,304,277
caracterizacao,0.014566245385918301,304,266
extracao,0.02729954484710587,303,171
min,0.029414034564544243,303,159
protecao,0.01651793574428431,303,243
estimar,0.015794175182373766,303,254
desmame,0.033774651547180685,302,142
temperatura,0.027525571204506764,302,172
disponibilidade,0.023283010216312586,302,174
envolvidos,0.014800876116344666,302,266
posteriormente,0.013060411723607194,302,290
respostas,0.017143580815541234,301,228
tese,0.01622905758327791,300,217
servicos,0.022110663905433044,299,191
socioeconomicos,0.016528231527428907,299,256
taxa,0.01858172100911172,298,218
lado,0.013519910683731677,298,276
pearson,0.013461915752966434,298,288
desenvolvido,0.014395001732264238,297,266
conjunto,0.013808764907538755,295,268
programas,0.019868583150984883,294,204
citocinas,0.023705899523322083,294,180
energetica,0.02003455160701501,294,199
frente,0.01819264562558238,293,221
compreender,0.01568192335035684,293,256
vitaminas,0.024677705356597093,292,178
inadequacao,0.02644910389550398,292,166
inflamatorias,0.01819155722548331,292,218
